[E 240902 10:36:13 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f0:1f:af:3a:d8:7b', 'Accept': 'application/json', 'X-PrivateKey': 'lQcjatCf', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'P59677996'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240902 10:37:09 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f0:1f:af:3a:d8:7b', 'Accept': 'application/json', 'X-PrivateKey': 'E3YKZ2si', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'H225144'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240902 10:37:09 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f0:1f:af:3a:d8:7b', 'Accept': 'application/json', 'X-PrivateKey': 'lQcjatCf', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'P59677996'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240902 11:12:42 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f0:1f:af:3a:d8:7b', 'Accept': 'application/json', 'X-PrivateKey': 'lQcjatCf', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'P59677996'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240902 11:15:49 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f0:1f:af:3a:d8:7b', 'Accept': 'application/json', 'X-PrivateKey': 'E3YKZ2si', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'H225144'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240902 11:15:50 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f0:1f:af:3a:d8:7b', 'Accept': 'application/json', 'X-PrivateKey': 'lQcjatCf', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'P59677996'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240902 11:25:26 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f0:1f:af:3a:d8:7b', 'Accept': 'application/json', 'X-PrivateKey': 'lQcjatCf', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'P59677996'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240902 11:25:51 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f0:1f:af:3a:d8:7b', 'Accept': 'application/json', 'X-PrivateKey': 'E3YKZ2si', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'H225144'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240902 11:27:49 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f0:1f:af:3a:d8:7b', 'Accept': 'application/json', 'X-PrivateKey': 'E3YKZ2si', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'H225144'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240902 11:27:50 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f0:1f:af:3a:d8:7b', 'Accept': 'application/json', 'X-PrivateKey': 'lQcjatCf', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'P59677996'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240902 11:31:05 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/logout, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f0:1f:af:3a:d8:7b', 'Accept': 'application/json', 'X-PrivateKey': 'lQcjatCf', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'P59677996'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
